ID,sentence1,sentence2,category,studied_quantity,result_comparison,equation_sentence1,equation_sentence2,task,natural_language_coefficient
40,"[PERSON_A] read 35 pages on Monday, 45 pages on Wednesday, and 40 pages on Friday to finish a novel.","[PERSON_B] completed 42 pages on Tuesday, 53 pages on Thursday, and 25 pages on Saturday of the same book.",Education,others,equal,35 + 45 + 40,42 + 53 + 25,reading pages,TRUE
41,"[PERSON_A] bought 125 apples, sold 45 of them to a neighbor, and then purchased 320 more from a local farm.","[PERSON_B] purchased 400 apples at a farmer's market and gave away 35 to family members, then added 35 more from the grocery store.",Shopping,others,less,125 + 320,400 + 35,buying apples,FALSE
42,"[PERSON_A] spent $245 on concert tickets, $118 on dinner before the show, and $37 on merchandise.","[PERSON_B] bought VIP tickets for $320, paid $65 for transportation, and spent $15 on snacks during the concert.",Entertainment,money,equal,245 + 118 + 37,320 + 65 + 15,concert experience,FALSE
43,"[PERSON_A] hiked 235 miles in June, 165 miles in July, and half of June's distance in August.","[PERSON_B] walked 150 miles in June, 300 miles in July, and 67.5 miles in August.",Health & Fitness,distance,equal,235 + 165 + (235/2),150 + 300 + 67.5,hiking miles,TRUE
44,"[PERSON_A] drove 125 miles to visit family, another 86 miles to a tourist attraction, and then 189 miles back home.","[PERSON_B] traveled 200 miles to a vacation spot, explored the area driving 150 miles, and took a 50-mile detour on the return journey.",Travel,distance,equal,125 + 86 + 189,200 + 150 + 50,driving miles,FALSE
45,"[PERSON_A] worked 160 hours in January, 128 hours in February, and 152 hours in March.","[PERSON_B] worked 150 hours in January, 140 hours in February, and 150 hours in March.",Education,time,equal,160 + 128 + 152,150 + 140 + 150,working,FALSE
46,"[PERSON_A] saved $350 in January, spent $125 from savings in February, and added $200 in March.","[PERSON_B] deposited $300 into savings, added another $175, and then withdrew $50 for an emergency.",Personal Care,money,equal,350 - 125 + 200,300 + 175 - 50,managing savings,FALSE
47,"[PERSON_A] spent $286 on a spa day, $149 on new skincare products, and returned a $35 item that didn't work well.","[PERSON_B] purchased a beauty package for $350, bought additional treatments for $85, and received a loyalty discount of $35.",Personal Care,money,equal,286 + 149 - 35,350 + 85 - 35,self-care,FALSE
48,"[PERSON_A] jogged 145 miles in spring, 155 miles in summer, and 120 miles in autumn.","[PERSON_B] ran 160 miles in spring, 140 miles in summer, and 120 miles in autumn.",Health & Fitness,distance,equal,145 + 155 + 120,160 + 140 + 120,running miles in seasons,FALSE
49,"[PERSON_A] spent $150 on a concert ticket, $95 on dinner before the show, and $230 on merchandise after the performance.","[PERSON_B] paid $245 for a VIP concert package, spent $80 on transportation, and bought $150 worth of band merchandise.",Entertainment,money,equal,150 + 95 + 230,245 + 80 + 150,concert experience,FALSE
50,"[PERSON_A] drove 278 miles on the highway, 124 miles on country roads, and 138 miles in the city during the road trip.","[PERSON_B] traveled 156 miles on the first day, 295 miles on the second day, and 89 miles on the third day of the road trip.",Travel,distance,equal,278 + 124 + 138,156 + 295 + 89,road trip,FALSE
51,"[PERSON_A] jogged 4 miles on Monday, twice that distance on Wednesday, and half of Monday's distance on Friday.","[PERSON_B] jogged 6 miles on Monday, ran half that distance on Wednesday, and 5 miles on Friday.",Health & Fitness,distance,equal,4 + (2×4) + (4/2),6 + (6/2) + 5,jogging miles,TRUE
52,"[PERSON_A] spent $40 on a main course, added an $8 appetizer, and paid a 20% tip on the total.","[PERSON_B] spent $32 on a main course, added a $16 appetizer, and paid a 20% tip on the total.",Dining,money,equal,(40 + 8) × 1.2,(32 + 16) × 1.2,dining,FALSE
53,"[PERSON_A] paid $300 for rent, $120 for utilities, and 25% of the total for groceries.","[PERSON_B] paid $350 for rent, $70 for utilities, and 25% of the total for groceries.",Home & Living,money,equal,300 + 120 + ((300+120)×0.25),350 + 70 + ((350+70)×0.25),paying for living expenses,FALSE
54,"[PERSON_A] spent 45 minutes on a phone call, 30 minutes texting, and one-fifth of the total time checking emails.","[PERSON_B] spent 30 minutes on a phone call, 45 minutes texting, and one-fifth of the total time checking emails.",Technology,time,equal,45 + 30 + ((45+30)×0.2),30 + 45 + ((30+45)×0.2),communicating,FALSE
55,"[PERSON_A] traveled 80 kilometers by train, 40 kilometers by bus, and one-quarter of the total distance by taxi.","[PERSON_B] traveled 60 kilometers by train, 60 kilometers by bus, and one-quarter of the total distance by taxi.",Travel,distance,equal,80 + 40 + ((80+40)/4),60 + 60 + ((60+60)/4),traveling distance,FALSE
56,"[PERSON_A] applies 10 grams of face cream in the morning, 5 grams at night, and one-third of the daily amount for weekly exfoliation.","[PERSON_B] applies 8 grams of face cream in the morning, 7 grams at night, and one-third of the daily amount for weekly exfoliation.",Personal Care,weight,equal,10 + 5 + ((10+5)/3),8 + 7 + ((8+7)/3),using grams of skincare products,FALSE
57,"[PERSON_A] reads 40 pages on Monday, 30 pages on Tuesday, and twice Monday's amount on the weekend.","[PERSON_B] reads 30 pages on Monday, 40 pages on Tuesday, and twice Tuesday's amount on the weekend.",Education,others,equal,40 + 30 + (2×40),30 + 40 + (2×40),reading pages,TRUE
58,"[PERSON_A] consumed 1500 calories for lunch, had a dinner with half those calories, and then ate a late snack with a fifth of the lunch calories.","[PERSON_B] had a 750 calorie dinner, ate twice that amount for lunch, and consumed a 300 calorie late snack.",Dining,others,equal,1500 + (1500/2) + (1500/5),750 + (2*750) + 300,consuming calories in meals,TRUE
59,"[PERSON_A] drove 30 miles to work each day, walked a tenth of that distance during lunch breaks, and biked twice the walking distance on weekends.","[PERSON_B] walked 3 miles during lunch breaks, drove ten times that distance to work each day, and biked 6 miles on weekends.",Transportation,distance,equal,30 + (30/10) + (2*(30/10)),3 + (10*3) + 6,covering distance in daily activities,TRUE
60,"[PERSON_A] spent $350 on a smartphone, purchased accessories worth a fifth of the phone's price, and then paid for a service plan costing half the phone's price.","[PERSON_B] bought smartphone accessories for $70, paid $175 for a service plan, and spent twice the service plan cost on the actual phone.",Technology,money,equal,350 + (350/5) + (350/2),70 + 175 + (2*175),buying phone and accessories,TRUE
61,"[PERSON_A] spent 6 hours working from home on Monday, double that time on Tuesday, and a third of Monday's time on Wednesday.","[PERSON_B] spent 5 hours working from home on Monday, two and a half times that on Tuesday, and half of Monday's time on Wednesday.",Home & Living,time,equal,6 + (2×6) + (6/3),5 + (2.5×5) + (5/2),working from home,TRUE
62,"[PERSON_A] spent 5 hours on a gaming console, triple that time on a computer game, and two-fifths of the console time on mobile games.","[PERSON_B] spent 6 hours on a gaming console, twice that time on a computer game, and two-thirds of the console time on mobile games.",Entertainment,time,equal,5 + (3×5) + (5×2/5),6 + (2×6) + (6×2/3),playing video games,TRUE
63,"[Person_A] paid $8 for breakfast, $12 for lunch, and twice the breakfast cost for dinner.","[Person_B] paid $6 for breakfast, $20 for lunch, and half the lunch cost for dinner.",Dining,money,equal,8 + 12 + (2*8),6 + 20 + (20/2),buying daily meals,TRUE
64,"[PERSON_A] lifted 50 pounds of weights for 4 sets, double that weight for 2 sets, and a fifth of the initial weight for 10 sets.","[PERSON_B] lifted 50 pounds of weights for 4 sets, a fifth of the initial weight for 10 sets, and double the initial weight for 2 sets.",Health & Fitness,weight,equal,(50 × 4) + (100 × 2) + (10 × 10),(50 × 4) + (10 × 10) + (100 × 2),lifting weights during workout,TRUE
65,"[Person_A] spent 3 hours studying math, a quarter of that time on English, and triple the math time on science.","[Person_B] spent a quarter of an hour on English, 3 hours on math, and triple the math time on science.",Education,time,equal,3 + (3/4) + (3×3),0.75 + 3 + (3×3),studying,TRUE
66,"[Person_A] spent $120 on a hotel room, a third of that amount on dinner, and twice the dinner cost on souvenirs.","[Person_B] spent twice the cost of dinner on souvenirs, $120 on a hotel room, and a third of the hotel cost on dinner.",Travel,money,equal,120 + (120/3) + (2×(120/3)),(2×40) + 120 + (120/3),vacationing,TRUE
67,"[Person_A] bought a shirt for $40, pants costing twice as much as the shirt, and socks costing a fifth of the pants.","[Person_B] bought socks for $16, pants costing five times as much as the socks, and a shirt costing half of the pants.",Shopping,money,equal,40 + (2×40) + ((2×40)/5),16 + (5×16) + ((5×16)/2),purchasing clothing items,TRUE
68,"[Person_A] spent 4 hours working on a project, triple that time researching, and a sixth of the research time writing a report.","[Person_B] spent 4 hours working on a project, a sixth of the research time writing a report, and triple the project time researching.",Education,time,equal,4 + (3×4) + ((3×4)/6),4 + (12/6) + (3×4),completing academic tasks,TRUE
69,"[Person_A] lifted 50 pounds in the first set, double that weight in the second set, and three-quarters of the second set weight in the final set.","[Person_B] lifted three-quarters of the second set weight in the final set, 50 pounds in the first set, and double the first set weight in the second set.",Health & Fitness,weight,equal,50 + (2×50) + (0.75×(2×50)),(0.75×100) + 50 + (2×50),performing weight training,TRUE
70,"[Person_A] paid $200 for a smartphone, one-eighth of that amount for a case, and half the smartphone cost for headphones.","[Person_B] paid half the smartphone cost for headphones, $200 for a smartphone, and one-eighth of the smartphone cost for a case.",Technology,money,equal,200 + (200/8) + (200/2),(200/2) + 200 + (200/8),buying tech accessories,TRUE
71,"[Person_A] walked 3 kilometers on Monday, twice that distance on Tuesday, and two-thirds of Tuesday's distance on Wednesday.","[Person_B] walked two-thirds of Tuesday's distance on Wednesday, twice Monday's distance on Tuesday, and 3 kilometers on Monday.",Health & Fitness,distance,equal,3 + (2×3) + (2/3×(2×3)),(2/3×6) + (2×3) + 3,walking for exercise,TRUE
72,"[Person_A] spent $450 on rent, a quarter of that amount on utilities, and one-third of the rent on groceries.","[Person_B] spent one-third of the rent on groceries, $450 on rent, and a quarter of the rent amount on utilities.",Home & Living,money,equal,450 + (450/4) + (450/3),(450/3) + 450 + (450/4),paying monthly expenses,FALSE
73,"[Person_A] bought a laptop for $900, a printer costing one-sixth of the laptop price, and a desk costing twice the printer price.","[Person_B] bought a desk costing twice the printer price, a laptop for $900, and a printer costing one-sixth of the laptop price.",Technology,money,equal,900 + (900/6) + (2×(900/6)),(2×150) + 900 + (900/6),purchasing home office equipment,TRUE
74,"[Person_A] commuted 12 miles to work, triple that distance to a client meeting, and half the client meeting distance back home.","[Person_B] commuted half the client meeting distance back home, triple the work distance to a client meeting, and 12 miles to work.",Transportation,distance,equal,12 + (3×12) + ((3×12)/2),(36/2) + (3×12) + 12,traveling for business,TRUE
75,"[Person_A] used 8 ounces of flour for cookies, triple that amount for bread, and a quarter of the bread flour for pancakes.","[Person_B] used a quarter of the bread flour for pancakes, triple the cookie flour for bread, and 8 ounces of flour for cookies.",Dining,weight,equal,8 + (3×8) + ((3×8)/4),(24/4) + (3×8) + 8,baking different recipes,TRUE
76,"[Person_A] invested $1000 in stocks, twice that amount in bonds, and a fifth of the bond investment in cryptocurrency.","[Person_B] invested a fifth of the bond investment in cryptocurrency, twice the stock investment in bonds, and $1000 in stocks.",Personal Care,money,equal,1000 + (2×1000) + ((2×1000)/5),(2000/5) + (2×1000) + 1000,making financial investments,TRUE
77,"[Person_A] spent 5 hours cleaning the house, half that time organizing the garage, and one and a half times the cleaning hours gardening.","[Person_B] spent one and a half times the cleaning hours gardening, 5 hours cleaning the house, and half the cleaning time organizing the garage.",Home & Living,time,equal,5 + (5/2) + (1.5×5),(1.5×5) + 5 + (5/2),completing household chores,TRUE
78,"[PERSON_A] bought 3 books for $15 each, then used a $5 coupon and added 2 magazines costing $10 each.","[PERSON_B] purchased 5 books at $12 each and returned 2 books priced at $12 each, then added a premium journal for $20.",Education,money,less,(3×15)-5+(2×10),(5×12)-(2×12)+20,buying reading materials,FALSE
79,"[PERSON_A] gained 5 pounds in December, lost 2 pounds in January, and then lost another 6 pounds by March.","[PERSON_B] lost 8 pounds during their fitness challenge, gained 3 pounds on vacation, and then lost 2 pounds after returning to their routine.",Health & Fitness,weight,more,5-2-2006,-8+3-2,experiencing weight changes,FALSE
80,"[PERSON_A] bought 3 shirts for $15 each, then received a $10 discount, and paid an additional $5 for gift wrapping.","[PERSON_B] purchased a $60 jacket, returned it for store credit, and then bought 2 shirts at $17.50 each.",Shopping,money,less,(3×15)-10+5,60-(2×17.50)-25,buying clothing,FALSE
81,"[PERSON_A] ordered an appetizer for $8, a main course for $22, and a dessert for $7, plus paid 15% tip on the total.",[PERSON_B] had a fixed-price dinner menu for $35 and left a $7.45 tip.,Dining,money,less,(8+22+7)×1.15,35+7.45,dining at restaurants,FALSE
82,"[PERSON_A] ran 4 miles on Monday, 6 miles on Wednesday, and half of the total weekly distance on Friday.","[PERSON_B] jogged 2 miles on Tuesday, 3 times that distance on Thursday, and completed 5 miles on Saturday.",Health & Fitness,distance,less,4 + 6 + (4+6)/2,2 + (3*2) + 5,running miles per week,TRUE
83,"[PERSON_A] spent 3 hours studying calculus, twice that amount on physics, and half the physics time on chemistry.","[PERSON_B] dedicated 4 hours to biology, 5 hours to literature, and 3 hours to history.",Education,time,equal,3 + (2*3) + (2*3)/2,4 + 5 + 3,studying subjects,TRUE
84,"[PERSON_A] added 3 pounds of apples at $2 per pound, 2 pounds of oranges at $3 per pound, and 1 pound of grapes at $4 per pound to their grocery cart.","[PERSON_B] selected a pre-packaged fruit assortment for $15, added a $3 box of berries, and received a $2 discount for using their own bags.",Shopping,money,equal,(3*2) + (2*3) + (1*4),15 + 3 - 2,buying fruit,FALSE
85,"[PERSON_A] filled up with 12 gallons of gas at $3.50 per gallon, paid a $2 service fee, and received a $6 discount with their loyalty card.",[PERSON_B] purchased 10 gallons of premium gas at $4.00 per gallon and spent $8 on a car wash.,Transportation,money,more,(12*3.5) + 2 - 6,(10*4) + 8,buying gas,FALSE
86,[PERSON_A] works 8 hours a day for 5 days and takes a 30-minute lunch break each day.,[PERSON_B] works 7.5 hours a day for 5 days and takes a 15-minute lunch break each day.,Home & Living,time,less,(8×5) - (0.5×5),(7.5×5) - (0.25×5),working,FALSE
87,"[PERSON_A] played video games for 3 hours on Saturday, half that time on Sunday, and twice Saturday's time on Friday.","[PERSON_B] played video games for 2 hours on Saturday, 3 times that amount on Sunday, and the same as Saturday on Friday.",Entertainment,time,less,3 + (3/2) + (2×3),2 + (3×2) + 2,playing video games,TRUE
88,[PERSON_A] sleeps 8 hours per night during weekdays and 9 hours per night on weekends.,[PERSON_B] sleeps 7 hours per night during weekdays and 11 hours per night on weekends.,Health & Fitness,time,less,(8×5) + (9×2),(7×5) + (11×2),sleeping per week,FALSE
89,"[PERSON_A] watches TV for 2 hours on Monday, half that time on Tuesday, and 3 times Monday's time on Wednesday.","[PERSON_B] watches TV for 1 hour on Monday, 4 times that amount on Tuesday, and 3 hours on Wednesday.",Entertainment,time,less,2 + (2/2) + (3×2),1 + (4×1) + 3,watching TV,TRUE
90,[PERSON_A] filled up with 10 gallons of gas at $3.50 per gallon and paid $5 for a car wash.,[PERSON_B] put 8 gallons in their tank at $4 per gallon and spent $7 on windshield wipers.,Transportation,money,less,103.50 + 5,84 + 7,maintaining car,FALSE
91,[PERSON_A] purchased 5 shirts for $15 each and received a buy-one-get-one-half-off discount on two of them.,[PERSON_B] bought 4 shirts for $16.25 each and used a $5 coupon on the total purchase.,Shopping,money,less,5*15 - 7.5,4*16.25 - 5,buying shirts,TRUE
92,"[PERSON_A] ordered an appetizer for $12, an entree for $24, and left a 20% tip on the subtotal.",[PERSON_B] paid $30 for a prix fixe meal and added a $7.20 gratuity.,Dining,money,less,(12 + 24) * 1.2,30 + 7.2,dining at a restaurant,FALSE
93,"[PERSON_A] walked 1.2 kilometers to the grocery store, then went 3 times that distance to the park, and finally strolled another 0.4 kilometers around the neighborhood.","[PERSON_B] walked 2.8 kilometers along the riverfront, then continued for an additional distance equal to half the riverfront walk, before finishing with a 0.6 kilometer walk home.",Transportation,distance,less,1.2 + (3×1.2) + 0.4,2.8 + (2.8/2) + 0.6,walking around town,TRUE
94,"[PERSON_A] biked 8 miles on Monday, half that distance on Tuesday, and double Monday's distance on Wednesday.","[PERSON_B] biked 12 miles on Friday, one-third of that distance on Saturday, and added another 8 miles on Sunday.",Health & Fitness,distance,less,8 + (8/2) + (2×8),12 + (12/3) + 8,biking on different days,TRUE
95,"[PERSON_A] traveled 120 kilometers by train, then continued for one-sixth of that distance by bus, and finally walked for 5 kilometers.","[PERSON_B] traveled 75 kilometers by car, then went 45 kilometers by train, and finished with a 5-kilometer bike ride.",Transportation,distance,less,120 + (120/6) + 5,75 + 45 + 5,traveling using different modes,FALSE
96,"[PERSON_A] measured a property with a perimeter of 240 meters, added a fence extending one-fifth of that length, and included a driveway of 32 meters.","[PERSON_B] measured a field that was 180 meters around, added a garden path of 60 meters, and included a walkway that was half the length of the garden path.",Home & Living,distance,less,240 + (240/5) + 32,180 + 60 + (60/2),measuring property features,TRUE
97,"[PERSON_A] delivered packages over a 12-mile route, added a special delivery that was one-third of the main route, and finished with a return trip equal to three-quarters of the main route.","[PERSON_B] delivered packages over a 9-mile primary zone, continued to a secondary zone that was half the primary distance, and completed deliveries with an additional 7.5-mile drive.",Transportation,distance,less,12 + (12/3) + (12×3/4),9 + (9/2) + 7.5,delivering packages,TRUE
98,"[PERSON_A] mapped a 4.8-kilometer nature trail, extended it by 25% of the original length, and added a connecting path that was one-third of the extended portion.","[PERSON_B] mapped a 3.6-kilometer main trail, connected it to a 1.8-kilometer ridge path, and added a 0.6-kilometer spur trail to a lookout point.",Travel,distance,less,4.8 + (4.8×0.25) + ((4.8×0.25)/3),3.6 + 1.8 + 0.6,mapping trails,FALSE
